,LOCATION,ROOM,QUARTER_INDEX,QUARTER,COURSE_ID,COURSE_NUM,SECTION,INSTRUCTOR_LAST,INSTRUCTOR_FIRST,SECTION_SIZE,RESPONSE_SIZE,RATING,know_rating,prep_rating,audible_rating,expl_rating,attent_rating,note_rating,stimu_rating,rec_course_rating,rec_professor_rating
998083,CENTR,222,99,WI19,COGS,1,960417,Deak,Gedeon O.,59,48,4.166666667,4.166666667,4.265306122,4.276595745,3.959183673,3.2244897960000003,3.7551020410000002,4.06122449,0.959183673,0.918367347
998104,CENTR,222,99,WI19,COGS,1,960418,Deak,Gedeon O.,53,40,4.5,4.5,4.6,4.619047619,4.365853659,3.452380952,4.1,4.139534884,0.953488372,0.931818182
998125,MANDE,B-150,99,WI19,COGS,100,970149,Leonardis,Eric Jeffrey,62,38,4.289473684,4.5,4.3,4.4,4.0,3.3,3.9,4.2,0.9,0.9
998146,MANDE,B-150,99,WI19,COGS,100,970150,Leonardis,Eric Jeffrey,59,40,4.3,4.076923077,4.230769231,4.615384615,3.461538462,3.692307692,3.1538461539999996,3.615384615,0.7692307690000001,0.846153846
998167,CENTR,222,99,WI19,COGS,100,970151,Leonardis,Eric Jeffrey,64,37,4.243243243,4.5,4.5,4.583333333,4.166666667,3.666666667,3.583333333,4.25,1.0,0.916666667
998608,MANDE,B-150,99,WI19,COGS,108,960485,Keown,Christopher Lee,61,10,4.4,4.538461538,4.615384615,4.615384615,4.0,3.307692308,3.384615385,3.615384615,1.0,0.9285714290000001
998628,MANDE,B-150,99,WI19,COGS,108,960486,Keown,Christopher Lee,64,18,4.222222222,4.25,4.333333333,4.333333333,4.333333333,3.666666667,3.666666667,3.888888889,0.8888888890000001,0.7777777779999999
998648,MANDE,B-150,99,WI19,COGS,108,960487,Keown,Christopher Lee,62,13,4.461538462,4.4,4.526315789,4.3,4.25,3.5,3.5,3.571428571,0.80952381,0.857142857
998669,MANDE,B-150,99,WI19,COGS,108,960488,Keown,Christopher Lee,62,22,4.1363636360000005,4.434782609,4.47826087,4.304347826,4.304347826,3.782608696,3.6956521739999997,4.0,0.875,0.916666667
998690,MANDE,B-150,99,WI19,COGS,108,960489,Keown,Christopher Lee,59,15,4.2,4.454545455,4.575757576,4.454545455,4.303030303,3.5757575760000004,3.545454545,3.9090909089999997,0.9090909090000001,0.9090909090000001
998710,MANDE,B-150,99,WI19,COGS,108,960490,Keown,Christopher Lee,62,17,4.117647058999999,4.346153846,4.407407407,4.518518519,4.346153846,3.888888889,3.538461538,3.888888889,0.9259259259999999,0.962962963
