,LOCATION,ROOM,QUARTER_INDEX,QUARTER,COURSE_ID,COURSE_NUM,SECTION,INSTRUCTOR_LAST,INSTRUCTOR_FIRST,SECTION_SIZE,RESPONSE_SIZE,RATING,Question_7,Question_9,Question_14,Question_15
8048,LEDDN,AUD  ,9,FA12,CSE,140,755968,Cheng,Chung Kuan,217,76,3.013157895,3.013157895,3.289473684,4.302631579,4.202702703
84662,PCYNH,106,46,FA14,CSE,140,820960,Cheng,Chung Kuan,181,125,3.2880000000000003,3.2880000000000003,3.136,4.3306451610000005,4.266129032
464531,CENTR,101,13,SP14,CSE,140,809043,Cheng,Chung Kuan,266,187,2.807486631,2.807486631,2.8924731180000003,4.228723404,3.983783784
600157,WLH  ,2005,81,SP17,CSE,140,903747,Cheng,Chung Kuan,193,174,3.114942529,3.114942529,2.9767441860000003,4.318181818,4.174418605
600178,WLH  ,2005,81,SP17,CSE,140,903748,Cheng,Chung Kuan,199,179,3.072625698,3.072625698,2.937142857,4.228571429,4.0730337080000005
654153,PCYNH,106,90,SP18,CSE,140,938609,Cheng,Chung Kuan,178,44,3.045454545,3.045454545,2.9090909089999997,4.3636363639999995,4.0
654174,PCYNH,106,90,SP18,CSE,140,938611,Cheng,Chung Kuan,142,44,3.0681818180000002,3.0681818180000002,2.727272727,4.325581395,4.23255814
826336,LEDDN,AUD  ,70,WI16,CSE,140,860981,Cheng,Chung Kuan,195,156,2.974358974,2.974358974,3.0573248410000002,4.120253165,4.038709677
826357,LEDDN,AUD  ,70,WI16,CSE,140,863513,Cheng,Chung Kuan,192,142,2.7676056339999997,2.7676056339999997,2.887323944,4.104895105,3.978873239
